#vector_size	count	cdf
1	496780	0.708817
2	62060	0.797366
3	24533	0.83237
4	22473	0.864435
5	11404	0.880706
6	10834	0.896164
7	7327	0.906619
8	7384	0.917154
9	5351	0.924789
10	5276	0.932317
11	4147	0.938234
12	3912	0.943816
13	2865	0.947904
14	2943	0.952103
15	2366	0.955479
16	2380	0.958875
17	1913	0.961604
18	1797	0.964168
19	1580	0.966423
20	1643	0.968767
21	1456	0.970844
22	1450	0.972913
23	1182	0.9746
24	1227	0.97635
25	1003	0.977782
26	965	0.979158
27	877	0.98041
28	857	0.981633
29	826	0.982811
30	808	0.983964
31	702	0.984966
32	693	0.985954
33	469	0.986624
34	505	0.987344
35	384	0.987892
36	412	0.98848
37	378	0.989019
38	413	0.989608
39	333	0.990084
40	324	0.990546
41	280	0.990945
42	312	0.991391
43	265	0.991769
44	289	0.992181
45	243	0.992528
46	225	0.992849
47	201	0.993136
48	209	0.993434
49	176	0.993685
50	164	0.993919
51	165	0.994154
52	156	0.994377
53	155	0.994598
54	136	0.994792
55	134	0.994983
56	95	0.995119
57	90	0.995247
58	110	0.995404
59	104	0.995553
60	98	0.995692
61	87	0.995817
62	92	0.995948
63	73	0.996052
64	97	0.99619
65	121	0.996363
66	82	0.99648
67	93	0.996613
68	104	0.996761
69	101	0.996905
70	106	0.997056
71	114	0.997219
72	95	0.997355
73	89	0.997482
74	82	0.997599
75	86	0.997721
76	81	0.997837
77	75	0.997944
78	78	0.998055
79	59	0.998139
80	67	0.998235
81	64	0.998326
82	51	0.998399
83	63	0.998489
84	60	0.998575
85	47	0.998642
86	35	0.998692
87	41	0.99875
88	29	0.998791
89	47	0.998859
90	50	0.99893
91	41	0.998988
92	48	0.999057
93	55	0.999135
94	46	0.999201
95	68	0.999298
96	52	0.999372
97	62	0.999461
98	50	0.999532
99	17	0.999556
100	4	0.999562
101	3	0.999566
102	4	0.999572
103	6	0.999581
104	4	0.999586
105	1	0.999588
106	2	0.999591
107	4	0.999596
108	1	0.999598
109	3	0.999602
110	4	0.999608
111	3	0.999612
112	4	0.999618
113	6	0.999626
114	2	0.999629
115	3	0.999633
116	2	0.999636
117	2	0.999639
118	3	0.999643
119	3	0.999648
120	4	0.999653
121	2	0.999656
122	2	0.999659
123	3	0.999663
124	3	0.999668
125	3	0.999672
126	6	0.99968
129	1	0.999682
130	3	0.999686
132	2	0.999689
133	1	0.99969
134	4	0.999696
136	3	0.9997
137	5	0.999708
138	4	0.999713
139	2	0.999716
140	2	0.999719
141	3	0.999723
143	4	0.999729
144	1	0.99973
145	5	0.999737
146	3	0.999742
147	3	0.999746
148	5	0.999753
149	3	0.999757
150	2	0.99976
151	2	0.999763
152	2	0.999766
153	3	0.99977
154	4	0.999776
155	1	0.999777
156	2	0.99978
158	3	0.999785
159	1	0.999786
160	2	0.999789
161	1	0.99979
162	2	0.999793
163	1	0.999795
164	2	0.999797
165	2	0.9998
169	2	0.999803
170	1	0.999805
171	3	0.999809
172	2	0.999812
173	1	0.999813
174	2	0.999816
175	2	0.999819
176	2	0.999822
177	2	0.999825
178	2	0.999827
179	1	0.999829
180	1	0.99983
181	3	0.999834
183	3	0.999839
184	3	0.999843
186	1	0.999844
187	3	0.999849
188	1	0.99985
189	3	0.999854
190	3	0.999859
191	3	0.999863
192	2	0.999866
193	2	0.999869
194	1	0.99987
195	1	0.999872
196	3	0.999876
200	2	0.999879
201	2	0.999882
202	1	0.999883
205	1	0.999884
207	1	0.999886
211	1	0.999887
213	3	0.999892
214	1	0.999893
215	1	0.999894
222	2	0.999897
225	1	0.999899
227	1	0.9999
228	1	0.999902
233	2	0.999904
236	1	0.999906
237	1	0.999907
244	1	0.999909
250	2	0.999912
251	1	0.999913
253	1	0.999914
254	1	0.999916
256	1	0.999917
257	1	0.999919
261	1	0.99992
263	1	0.999922
264	1	0.999923
268	1	0.999924
270	1	0.999926
271	1	0.999927
272	2	0.99993
277	1	0.999932
280	1	0.999933
281	1	0.999934
283	1	0.999936
284	2	0.999939
296	1	0.99994
305	1	0.999942
306	1	0.999943
307	1	0.999944
311	1	0.999946
317	1	0.999947
325	1	0.999949
334	1	0.99995
349	1	0.999951
358	1	0.999953
359	2	0.999956
361	1	0.999957
376	1	0.999959
393	1	0.99996
443	1	0.999961
478	1	0.999963
481	1	0.999964
490	1	0.999966
506	1	0.999967
508	2	0.99997
513	1	0.999971
530	1	0.999973
558	1	0.999974
578	1	0.999976
581	1	0.999977
586	1	0.999979
651	1	0.99998
668	1	0.999981
685	1	0.999983
760	1	0.999984
765	1	0.999986
898	1	0.999987
907	1	0.999989
925	1	0.99999
1044	1	0.999991
1079	1	0.999993
1133	1	0.999994
1542	1	0.999996
2099	1	0.999997
2676	1	0.999999
2947	1	1
