#reverse_pos	count	cdf
0	334074	0.491996
1	158151	0.724907
2	47856	0.795385
3	43618	0.859622
4	18820	0.887339
5	21342	0.918769
6	10498	0.93423
7	11329	0.950914
8	3591	0.956203
9	3745	0.961718
10	2522	0.965432
11	3227	0.970185
12	1467	0.972345
13	1727	0.974889
14	1454	0.97703
15	1437	0.979146
16	777	0.980291
17	825	0.981506
18	697	0.982532
19	766	0.98366
20	414	0.98427
21	429	0.984902
22	472	0.985597
23	526	0.986371
24	326	0.986852
25	374	0.987402
26	293	0.987834
27	291	0.988262
28	303	0.988709
29	278	0.989118
30	249	0.989485
31	286	0.989906
32	230	0.990245
33	230	0.990583
34	185	0.990856
35	186	0.99113
36	183	0.991399
37	203	0.991698
38	208	0.992005
39	220	0.992329
40	239	0.992681
41	166	0.992925
42	131	0.993118
43	115	0.993287
44	93	0.993424
45	143	0.993635
46	140	0.993841
47	163	0.994081
48	95	0.994221
49	99	0.994367
50	59	0.994454
51	62	0.994545
52	67	0.994644
53	85	0.994769
54	106	0.994925
55	74	0.995034
56	97	0.995177
57	97	0.99532
58	75	0.99543
59	102	0.99558
60	66	0.995678
61	44	0.995742
62	52	0.995819
63	37	0.995873
64	49	0.995946
65	68	0.996046
66	64	0.99614
67	48	0.996211
68	54	0.99629
69	50	0.996364
70	47	0.996433
71	51	0.996508
72	26	0.996546
73	43	0.99661
74	31	0.996655
75	34	0.996706
76	33	0.996754
77	52	0.996831
78	32	0.996878
79	29	0.996921
80	42	0.996982
81	31	0.997028
82	36	0.997081
83	26	0.997119
84	26	0.997158
85	23	0.997192
86	34	0.997242
87	27	0.997281
88	28	0.997323
89	28	0.997364
90	33	0.997412
91	16	0.997436
92	19	0.997464
93	33	0.997513
94	18	0.997539
95	30	0.997583
96	13	0.997602
97	17	0.997627
98	10	0.997642
99	12	0.99766
100	8	0.997672
101	8	0.997683
102	9	0.997697
103	9	0.99771
104	13	0.997729
105	14	0.99775
106	9	0.997763
107	8	0.997775
108	28	0.997816
109	15	0.997838
110	15	0.99786
111	8	0.997872
112	24	0.997907
113	25	0.997944
114	17	0.997969
115	15	0.997991
116	26	0.99803
117	22	0.998062
118	18	0.998088
119	23	0.998122
120	19	0.99815
121	15	0.998172
122	20	0.998202
123	16	0.998225
124	16	0.998249
125	15	0.998271
126	10	0.998286
127	9	0.998299
128	7	0.998309
129	15	0.998331
130	6	0.99834
131	8	0.998352
132	10	0.998367
133	7	0.998377
134	11	0.998393
135	11	0.998409
136	6	0.998418
137	12	0.998436
138	11	0.998452
139	12	0.99847
140	11	0.998486
141	13	0.998505
142	9	0.998518
143	5	0.998526
144	16	0.998549
145	10	0.998564
146	5	0.998571
147	6	0.99858
148	17	0.998605
149	14	0.998626
150	2	0.998629
151	6	0.998638
152	7	0.998648
153	8	0.99866
154	8	0.998672
155	7	0.998682
156	7	0.998692
157	10	0.998707
158	4	0.998713
159	8	0.998725
160	8	0.998736
161	8	0.998748
162	5	0.998756
163	10	0.99877
164	4	0.998776
165	8	0.998788
166	3	0.998792
167	7	0.998803
168	8	0.998814
169	7	0.998825
170	5	0.998832
171	3	0.998837
172	9	0.99885
173	1	0.998851
174	3	0.998856
175	9	0.998869
176	4	0.998875
177	9	0.998888
178	10	0.998903
179	7	0.998913
181	7	0.998923
182	13	0.998943
183	3	0.998947
184	4	0.998953
185	1	0.998954
186	6	0.998963
