#vector_size	early_hit_ratio	hits_in_first_half	total_checks
5	0.298229	6802	22808
6	0.572211	18598	32502
7	0.439709	12887	29308
8	0.535726	19779	36920
9	0.489908	15729	32106
10	0.575192	21243	36932
11	0.505486	16770	33176
12	0.54215	19088	35208
13	0.502792	14405	28650
14	0.560405	18142	32373
15	0.514476	14607	28392
16	0.549192	16992	30940
17	0.521096	13956	26782
18	0.565387	15240	26955
19	0.526147	13301	25280
20	0.55433	15483	27931
21	0.527701	13830	26208
22	0.556152	15322	27550
23	0.517343	12230	23640
24	0.542748	13985	25767
25	0.523112	11543	22066
26	0.5426	12043	22195
27	0.51354	10809	21048
28	0.533162	11423	21425
29	0.513038	11018	21476
30	0.535112	11674	21816
31	0.513431	10092	19656
32	0.529183	10635	20097
33	0.511585	7198	14070
34	0.526094	8236	15655
35	0.503337	6185	12288
36	0.51677	7026	13596
37	0.507236	6519	12852
38	0.522726	7556	14455
39	0.501835	6016	11988
40	0.513597	6157	11988
41	0.499906	5319	10640
42	0.508629	6189	12168
43	0.500849	5309	10600
44	0.506541	6002	11849
45	0.498628	5089	10206
46	0.516899	5001	9675
47	0.500678	4428	8844
48	0.511217	4808	9405
49	0.494936	4007	8096
50	0.511028	3939	7708
51	0.504167	3993	7920
52	0.507588	3880	7644
53	0.501548	3887	7750
54	0.510381	3540	6936
55	0.510046	3554	6968
56	0.506455	2550	5035
57	0.510494	2481	4860
58	0.511405	3094	6050
59	0.506181	2948	5824
60	0.505013	2821	5586
61	0.499405	2520	5046
62	0.51437	2792	5428
63	0.505708	2215	4380
64	0.500085	2959	5917
65	0.51173	3839	7502
66	0.497096	2568	5166
67	0.503024	2994	5952
68	0.529734	3581	6760
69	0.507651	3384	6666
70	0.512391	3639	7102
71	0.519479	4027	7752
72	0.516857	3388	6555
73	0.51236	3192	6230
74	0.519409	3024	5822
75	0.517442	3204	6192
76	0.52596	3110	5913
77	0.531532	2950	5550
78	0.539145	3154	5850
79	0.510036	2287	4484
80	0.535957	2765	5159
81	0.527043	2631	4992
82	0.537106	2164	4029
83	0.525992	2651	5040
84	0.555556	2700	4860
85	0.523612	2018	3854
86	0.520482	1512	2905
87	0.533682	1838	3444
88	0.545233	1344	2465
89	0.5381	2175	4042
90	0.53954	2347	4350
91	0.527162	1902	3608
92	0.533474	2279	4272
93	0.54202	2683	4950
94	0.543717	2276	4186
95	0.537884	3365	6256
96	0.554384	2681	4836
97	0.542725	3163	5828
98	0.554947	2636	4750
99	0.530025	865	1632
100	0.523196	203	388
101	0.472789	139	294
102	0.560606	222	396
103	0.531667	319	600
104	0.490099	198	404
105	0.519608	53	102
106	0.466019	96	206
107	0.512019	213	416
108	0.438095	46	105
109	0.59434	189	318
110	0.504673	216	428
111	0.493827	160	324
112	0.522936	228	436
113	0.524242	346	660
114	0.581081	129	222
115	0.4375	147	336
116	0.526549	119	226
117	0.600877	137	228
118	0.510145	176	345
119	0.563218	196	348
120	0.514957	241	468
121	0.542373	128	236
122	0.504202	120	238
123	0.522222	188	360
124	0.545455	198	363
125	0.530055	194	366
126	0.53252	393	738
129	0.47619	60	126
130	0.524934	200	381
132	0.612403	158	258
133	0.646154	84	130
134	0.505725	265	524
136	0.521303	208	399
137	0.513433	344	670
138	0.544444	294	540
139	0.5625	153	272
140	0.50365	138	274
141	0.560386	232	414
143	0.483929	271	560
144	0.546099	77	141
145	0.529577	376	710
146	0.578089	248	429
147	0.513889	222	432
148	0.525517	381	725
149	0.504566	221	438
150	0.564626	166	294
151	0.527027	156	296
152	0.540268	161	298
153	0.488889	220	450
154	0.582781	352	604
155	0.519737	79	152
156	0.565359	173	306
158	0.565591	263	465
159	0.615385	96	156
160	0.700637	220	314
161	0.531646	84	158
162	0.610063	194	318
163	0.4625	74	160
164	0.614907	198	322
165	0.496914	161	324
169	0.472892	157	332
170	0.556886	93	167
171	0.450397	227	504
172	0.517751	175	338
173	0.647059	110	170
174	0.482456	165	342
175	0.537791	185	344
176	0.563584	195	346
177	0.58908	205	348
178	0.514286	180	350
179	0.5625	99	176
180	0.485876	86	177
181	0.593633	317	534
183	0.577778	312	540
184	0.576427	313	543
186	0.52459	96	183
187	0.536232	296	552
188	0.610811	113	185
189	0.553763	309	558
190	0.586453	329	561
191	0.58156	328	564
192	0.47619	180	378
193	0.544737	207	380
194	0.586387	112	191
195	0.395833	76	192
196	0.499136	289	579
200	0.522843	206	394
201	0.520202	206	396
202	0.562814	112	199
205	0.480198	97	202
207	0.436275	89	204
211	0.394231	82	208
213	0.557143	351	630
214	0.488152	103	211
215	0.566038	120	212
222	0.449772	197	438
225	0.576577	128	222
227	0.526786	118	224
228	0.564444	127	225
233	0.476087	219	460
236	0.506438	118	233
237	0.440171	103	234
244	0.481328	116	241
250	0.57085	282	494
251	0.608871	151	248
253	0.44	110	250
254	0.565737	142	251
256	0.604743	153	253
257	0.606299	154	254
261	0.569767	147	258
263	0.573077	149	260
264	0.563218	147	261
268	0.618868	164	265
270	0.58427	156	267
271	0.526119	141	268
272	0.598513	322	538
277	0.554745	152	274
280	0.501805	139	277
281	0.557554	155	278
283	0.532143	149	280
284	0.608541	342	562
296	0.552901	162	293
305	0.539735	163	302
306	0.488449	148	303
307	0.480263	146	304
311	0.487013	150	308
317	0.566879	178	314
325	0.565217	182	322
334	0.365559	121	331
349	0.540462	187	346
358	0.532394	189	355
359	0.561798	400	712
361	0.673184	241	358
376	0.490617	183	373
393	0.433333	169	390
443	0.538636	237	440
478	0.431579	205	475
481	0.585774	280	478
490	0.476386	232	487
506	0.616302	310	503
508	0.545545	551	1010
513	0.421569	215	510
530	0.425047	224	527
558	0.603604	335	555
578	0.594783	342	575
581	0.598616	346	578
586	0.595197	347	583
651	0.572531	371	648
668	0.6	399	665
685	0.328446	224	682
760	0.535007	405	757
765	0.585302	446	762
898	0.581006	520	895
907	0.528761	478	904
925	0.483731	446	922
1044	0.564841	588	1041
1079	0.499071	537	1076
1133	0.497345	562	1130
1542	0.493827	760	1539
2099	0.567748	1190	2096
2676	0.487093	1302	2673
2947	0.45856	1350	2944
