#vector_size	count	cdf
1	200503	0.781146
2	42232	0.945679
3	3785	0.960425
4	2750	0.971139
5	1299	0.9762
6	1039	0.980248
7	644	0.982757
8	585	0.985036
9	414	0.986649
10	359	0.988047
11	234	0.988959
12	253	0.989945
13	195	0.990704
14	162	0.991335
15	125	0.991822
16	123	0.992302
17	124	0.992785
18	84	0.993112
19	70	0.993385
20	81	0.9937
21	63	0.993946
22	55	0.99416
23	49	0.994351
24	61	0.994589
25	41	0.994748
26	47	0.994931
27	35	0.995068
28	49	0.995259
29	32	0.995383
30	35	0.99552
31	26	0.995621
32	26	0.995722
33	27	0.995827
34	16	0.99589
35	25	0.995987
36	19	0.996061
37	28	0.99617
38	16	0.996233
39	25	0.99633
40	20	0.996408
41	13	0.996459
42	28	0.996568
43	10	0.996607
44	12	0.996653
45	13	0.996704
46	13	0.996755
47	18	0.996825
48	10	0.996864
49	17	0.99693
50	13	0.996981
51	7	0.997008
52	12	0.997055
53	6	0.997078
54	15	0.997136
55	8	0.997168
56	9	0.997203
57	10	0.997242
58	8	0.997273
59	6	0.997296
60	10	0.997335
61	10	0.997374
62	8	0.997405
63	9	0.99744
64	7	0.997468
65	5	0.997487
66	5	0.997507
67	4	0.997522
68	6	0.997546
69	11	0.997588
70	9	0.997623
71	6	0.997647
72	6	0.99767
73	11	0.997713
74	5	0.997733
75	6	0.997756
76	6	0.997779
77	4	0.997795
78	8	0.997826
79	4	0.997842
80	2	0.997849
81	3	0.997861
82	4	0.997877
83	5	0.997896
84	8	0.997927
85	6	0.997951
86	4	0.997966
87	2	0.997974
88	6	0.997997
89	3	0.998009
90	5	0.998029
91	5	0.998048
92	3	0.99806
93	4	0.998075
94	8	0.998107
95	1	0.99811
96	6	0.998134
97	3	0.998146
98	4	0.998161
99	9	0.998196
100	5	0.998216
101	7	0.998243
102	5	0.998262
103	3	0.998274
104	2	0.998282
105	3	0.998294
106	2	0.998301
107	4	0.998317
108	2	0.998325
109	8	0.998356
