#reverse_pos	count	cdf
0	43873	0.254544
1	14348	0.337789
2	8429	0.386693
3	5824	0.420483
4	4179	0.444729
5	3415	0.464542
6	2726	0.480358
7	2271	0.493534
8	1923	0.504691
9	1722	0.514682
10	1577	0.523831
11	1350	0.531664
12	1207	0.538666
13	1011	0.544532
14	1012	0.550404
15	948	0.555904
16	966	0.561508
17	825	0.566295
18	811	0.571
19	709	0.575114
20	764	0.579546
21	679	0.583486
22	675	0.587402
23	744	0.591718
24	626	0.59535
25	623	0.598965
26	559	0.602208
27	526	0.60526
28	572	0.608579
29	516	0.611572
30	475	0.614328
31	486	0.617148
32	475	0.619904
33	424	0.622364
34	419	0.624795
35	423	0.627249
36	407	0.62961
37	436	0.63214
38	394	0.634426
39	352	0.636468
40	396	0.638766
41	393	0.641046
42	367	0.643175
43	347	0.645188
44	310	0.646987
45	380	0.649192
46	321	0.651054
47	283	0.652696
48	351	0.654732
49	324	0.656612
50	276	0.658213
51	315	0.660041
52	285	0.661694
53	284	0.663342
54	291	0.665031
55	284	0.666678
56	273	0.668262
57	249	0.669707
58	277	0.671314
59	310	0.673113
60	332	0.675039
61	277	0.676646
62	250	0.678096
63	246	0.679524
64	215	0.680771
65	245	0.682192
66	219	0.683463
67	214	0.684705
68	225	0.68601
69	233	0.687362
70	196	0.688499
71	207	0.6897
72	212	0.69093
73	185	0.692003
74	228	0.693326
75	182	0.694382
76	193	0.695502
77	171	0.696494
78	170	0.69748
79	193	0.6986
80	172	0.699598
81	231	0.700938
82	194	0.702064
83	204	0.703247
84	161	0.704181
85	151	0.705057
86	169	0.706038
87	206	0.707233
88	148	0.708092
89	171	0.709084
90	155	0.709983
91	151	0.710859
92	177	0.711886
93	189	0.712983
94	148	0.713841
95	173	0.714845
96	163	0.715791
97	185	0.716864
98	168	0.717839
99	175	0.718854
100	167	0.719823
101	133	0.720595
102	128	0.721337
103	138	0.722138
104	147	0.722991
105	164	0.723942
106	156	0.724848
107	143	0.725677
108	129	0.726426
109	131	0.727186
110	126	0.727917
111	97	0.72848
112	132	0.729245
113	116	0.729918
114	119	0.730609
115	143	0.731438
116	109	0.732071
117	130	0.732825
118	127	0.733562
119	132	0.734328
120	200	0.735488
121	120	0.736184
122	109	0.736817
123	112	0.737467
124	110	0.738105
125	91	0.738633
126	108	0.739259
127	131	0.740019
128	119	0.74071
129	122	0.741418
130	119	0.742108
131	115	0.742775
132	132	0.743541
133	112	0.744191
134	120	0.744887
135	137	0.745682
136	107	0.746303
137	97	0.746866
138	97	0.747428
139	113	0.748084
140	98	0.748653
141	88	0.749163
142	79	0.749621
143	102	0.750213
144	96	0.75077
145	89	0.751287
146	87	0.751791
147	81	0.752261
148	79	0.75272
149	82	0.753195
150	90	0.753718
151	96	0.754275
152	82	0.75475
153	97	0.755313
154	88	0.755824
155	85	0.756317
156	92	0.756851
157	87	0.757355
158	76	0.757796
159	87	0.758301
160	74	0.75873
161	77	0.759177
162	77	0.759624
163	68	0.760018
164	82	0.760494
165	69	0.760894
166	62	0.761254
167	80	0.761718
168	67	0.762107
169	76	0.762548
170	73	0.762971
171	79	0.76343
172	71	0.763842
173	69	0.764242
174	72	0.76466
175	69	0.76506
176	77	0.765507
177	69	0.765907
178	87	0.766412
179	81	0.766882
180	116	0.767555
181	59	0.767897
182	68	0.768292
183	74	0.768721
184	84	0.769208
185	126	0.769939
186	64	0.770311
187	73	0.770734
188	76	0.771175
189	106	0.77179
190	68	0.772185
191	53	0.772492
192	71	0.772904
193	73	0.773328
194	63	0.773693
195	54	0.774007
196	54	0.77432
197	66	0.774703
198	49	0.774987
199	52	0.775289
200	55	0.775608
201	49	0.775892
202	67	0.776281
203	71	0.776693
204	50	0.776983
205	60	0.777331
206	52	0.777633
207	41	0.777871
208	67	0.778259
209	66	0.778642
210	50	0.778932
211	69	0.779333
212	70	0.779739
213	71	0.780151
214	72	0.780568
215	79	0.781027
216	141	0.781845
217	80	0.782309
218	66	0.782692
219	82	0.783168
220	98	0.783736
221	50	0.784026
222	70	0.784432
223	62	0.784792
224	68	0.785187
225	69	0.785587
226	50	0.785877
227	52	0.786179
228	43	0.786428
229	51	0.786724
230	46	0.786991
231	37	0.787206
232	53	0.787513
233	46	0.78778
234	53	0.788088
235	39	0.788314
236	55	0.788633
237	65	0.78901
238	60	0.789358
239	50	0.789648
240	65	0.790025
241	61	0.790379
242	49	0.790664
243	48	0.790942
244	42	0.791186
245	49	0.79147
246	56	0.791795
247	57	0.792126
248	45	0.792387
249	46	0.792654
250	78	0.793106
251	66	0.793489
252	66	0.793872
253	62	0.794232
254	72	0.79465
255	76	0.79509
256	59	0.795433
257	79	0.795891
258	92	0.796425
259	54	0.796738
260	41	0.796976
261	45	0.797237
262	41	0.797475
263	41	0.797713
264	35	0.797916
265	42	0.79816
266	43	0.798409
267	48	0.798688
268	34	0.798885
269	34	0.799082
270	47	0.799355
271	50	0.799645
272	52	0.799947
273	45	0.800208
274	51	0.800504
275	35	0.800707
276	42	0.80095
277	53	0.801258
278	71	0.80167
279	119	0.80236
280	85	0.802853
281	65	0.80323
282	65	0.803608
283	47	0.80388
284	34	0.804078
285	48	0.804356
286	81	0.804826
287	52	0.805128
288	45	0.805389
289	42	0.805632
290	46	0.805899
291	46	0.806166
292	52	0.806468
293	45	0.806729
294	31	0.806909
295	47	0.807182
296	35	0.807385
297	41	0.807622
298	49	0.807907
299	31	0.808087
300	58	0.808423
301	57	0.808754
302	43	0.809003
303	46	0.80927
304	31	0.80945
305	31	0.80963
306	48	0.809908
307	42	0.810152
308	22	0.81028
309	35	0.810483
310	43	0.810732
311	36	0.810941
312	40	0.811173
313	35	0.811376
314	38	0.811597
315	43	0.811846
316	38	0.812067
317	37	0.812281
318	44	0.812537
319	35	0.81274
320	36	0.812949
321	32	0.813134
322	30	0.813308
323	28	0.813471
324	26	0.813622
325	37	0.813836
326	31	0.814016
327	35	0.814219
328	34	0.814416
329	30	0.81459
330	32	0.814776
331	32	0.814962
332	33	0.815153
333	46	0.81542
334	40	0.815652
335	26	0.815803
336	37	0.816018
337	37	0.816232
338	41	0.81647
339	44	0.816726
340	37	0.81694
341	24	0.817079
342	36	0.817288
343	38	0.817509
344	33	0.8177
345	35	0.817903
346	28	0.818066
347	36	0.818275
348	36	0.818484
349	34	0.818681
350	34	0.818878
351	32	0.819064
352	32	0.819249
353	35	0.819452
354	25	0.819597
355	26	0.819748
356	47	0.820021
357	38	0.820241
358	31	0.820421
359	27	0.820578
360	36	0.820787
361	32	0.820973
362	41	0.82121
363	35	0.821413
364	27	0.82157
365	24	0.821709
366	25	0.821854
367	33	0.822046
368	33	0.822237
369	30	0.822411
370	24	0.822551
371	29	0.822719
372	31	0.822899
373	21	0.823021
374	29	0.823189
375	23	0.823322
376	34	0.82352
377	20	0.823636
378	32	0.823821
379	21	0.823943
380	28	0.824106
381	36	0.824314
382	31	0.824494
383	20	0.82461
384	38	0.824831
385	31	0.825011
386	42	0.825254
387	35	0.825457
388	26	0.825608
389	55	0.825927
390	96	0.826484
391	51	0.82678
392	64	0.827151
393	72	0.827569
394	93	0.828109
395	38	0.828329
396	49	0.828614
397	36	0.828822
398	24	0.828962
399	27	0.829118
400	39	0.829345
401	52	0.829646
402	54	0.82996
403	24	0.830099
404	30	0.830273
405	20	0.830389
406	23	0.830522
407	26	0.830673
408	48	0.830952
409	66	0.831335
410	103	0.831932
411	101	0.832518
412	35	0.832721
413	51	0.833017
414	39	0.833243
415	91	0.833771
416	101	0.834357
417	26	0.834508
418	17	0.834607
419	29	0.834775
420	27	0.834932
421	25	0.835077
422	22	0.835204
423	25	0.835349
424	23	0.835483
425	26	0.835634
426	28	0.835796
427	25	0.835941
428	28	0.836104
429	21	0.836226
430	29	0.836394
431	27	0.83655
432	29	0.836719
433	27	0.836875
434	26	0.837026
435	23	0.83716
436	29	0.837328
437	26	0.837479
438	122	0.838187
439	119	0.838877
440	112	0.839527
441	65	0.839904
442	143	0.840734
443	22	0.840861
444	24	0.841
445	38	0.841221
446	25	0.841366
447	17	0.841465
448	25	0.84161
449	20	0.841726
450	28	0.841888
451	19	0.841998
452	14	0.84208
453	17	0.842178
454	14	0.842259
455	24	0.842399
456	21	0.842521
457	18	0.842625
458	27	0.842782
459	25	0.842927
460	19	0.843037
461	23	0.84317
462	22	0.843298
463	31	0.843478
464	24	0.843617
465	24	0.843756
466	17	0.843855
467	19	0.843965
468	27	0.844122
469	29	0.84429
470	30	0.844464
471	20	0.84458
