#vector_size	early_hit_ratio	hits_in_first_half	total_checks
5	0.509623	1324	2598
6	0.714469	2227	3117
7	0.582686	1501	2576
8	0.695385	2034	2925
9	0.655395	1628	2484
10	0.712296	1790	2513
11	0.653846	1224	1872
12	0.687747	1566	2277
13	0.650769	1269	1950
14	0.712121	1269	1782
15	0.676	1014	1500
16	0.714196	1142	1599
17	0.669931	1163	1736
18	0.746825	941	1260
19	0.678571	760	1120
20	0.705882	972	1377
21	0.664021	753	1134
22	0.669856	700	1045
23	0.677551	664	980
24	0.68306	875	1281
25	0.646341	583	902
26	0.655874	709	1081
27	0.635714	534	840
28	0.707755	867	1225
29	0.617788	514	832
30	0.674074	637	945
31	0.622253	453	728
32	0.647215	488	754
33	0.7	567	810
34	0.707661	351	496
35	0.68875	551	800
36	0.749601	470	627
37	0.703782	670	952
38	0.651786	365	560
39	0.686667	618	900
40	0.643243	476	740
41	0.591093	292	494
42	0.715201	781	1092
43	0.61	244	400
44	0.650407	320	492
45	0.675824	369	546
46	0.701252	392	559
47	0.766414	607	792
48	0.675556	304	450
49	0.707161	553	782
50	0.666121	407	611
51	0.613095	206	336
52	0.778912	458	588
53	0.713333	214	300
54	0.677124	518	765
55	0.769231	320	416
56	0.662474	316	477
57	0.762963	412	540
58	0.606818	267	440
59	0.654762	220	336
60	0.736842	420	570
61	0.77069	447	580
62	0.646186	305	472
63	0.757407	409	540
64	0.594848	254	427
65	0.764516	237	310
66	0.511111	161	315
67	0.734375	188	256
68	0.669231	261	390
69	0.679063	493	726
70	0.668325	403	603
71	0.602941	246	408
72	0.671498	278	414
73	0.702597	541	770
74	0.571831	203	355
75	0.736111	318	432
76	0.659817	289	438
77	0.827703	245	296
78	0.628333	377	600
79	0.759868	231	304
80	0.642857	99	154
81	0.679487	159	234
82	0.803797	254	316
83	0.59	236	400
84	0.720679	467	648
85	0.632114	311	492
86	0.777108	258	332
87	0.541667	91	168
88	0.6	306	510
89	0.674419	174	258
90	0.721839	314	435
91	0.761364	335	440
92	0.614232	164	267
93	0.833333	300	360
94	0.688187	501	728
95	0.597826	55	92
96	0.732975	409	558
97	0.77305	218	282
98	0.828947	315	380
99	0.604167	522	864
100	0.682474	331	485
101	0.648688	445	686
102	0.694949	344	495
103	0.823333	247	300
104	0.653465	132	202
105	0.866013	265	306
106	0.616505	127	206
107	0.677885	282	416
108	0.752381	158	210
109	0.686321	582	848
110	0.803738	172	214
111	0.833333	270	324
112	0.582569	127	218
113	0.661818	364	550
114	0.795796	265	333
115	0.701786	393	560
116	0.247788	28	113
117	0.915205	313	342
118	0.908696	209	230
119	0.662356	461	696
121	0.974576	115	118
122	0.991597	118	119
123	0.483333	116	240
124	0.633609	230	363
125	0.598361	73	122
127	0.753226	467	620
128	0.656	164	250
129	0.801587	202	252
130	0.519685	66	127
131	0.622396	239	384
133	0.543077	353	650
134	0.685751	539	786
135	0.638258	337	528
136	0.642857	171	266
137	0.776119	104	134
138	0.669136	271	405
139	0.791667	323	408
140	0.718457	689	959
141	0.971014	134	138
142	0.776978	216	278
143	0.614286	86	140
144	0.684397	193	282
145	0.59507	169	284
146	0.965035	138	143
148	0.737931	107	145
149	0.739726	108	146
150	0.741497	109	147
152	0.644295	96	149
153	0.706667	106	150
154	0.740066	447	604
155	0.654605	199	304
156	0.45098	69	153
158	0.516129	80	155
161	0.537975	170	316
162	0.718029	685	954
163	0.578125	185	320
164	0.919255	296	322
165	0.660494	107	162
166	0.564417	92	163
167	0.682927	112	164
168	0.674242	445	660
169	0.63253	210	332
171	0.494048	166	336
172	0.711538	481	676
173	0.667647	227	340
174	0.652047	223	342
175	0.866279	149	172
176	0.817919	283	346
177	0.626437	109	174
178	0.314286	55	175
179	0.789773	139	176
180	0.389831	69	177
181	0.817416	291	356
184	0.718232	260	362
186	1	183	183
187	0.532609	98	184
188	0.464865	86	185
189	0.672043	500	744
190	0.572193	107	187
191	0.792553	298	376
192	0.949735	359	378
193	0.373684	71	190
194	0.662304	253	382
195	0.581597	335	576
197	0.725515	563	776
198	0.846154	165	195
200	0.817259	161	197
201	0.512626	203	396
202	0.527638	105	199
206	0.610837	248	406
