# Super-large sets analysis (sets with size > 6754)
#set_id	chunk_id	basechunk_id
1	667	-1
1	713	667
1	969	667
1	2645	667
1	2655	969
1	2660	2645
1	2668	2645
1	2675	2645
1	2680	2668
1	2686	2680
1	2694	713
1	2697	2694
1	2750	969
1	2755	2750
1	2760	2750
1	2765	2760
1	2788	969
1	2793	2788
1	2798	2793
1	2801	2645
1	2841	2645
1	2847	2841
1	2926	2655
1	2931	2926
1	2936	2931
1	2940	2936
1	2944	2940
1	2948	2931
1	2953	2948
1	2957	2948
1	3139	2793
1	3145	3139
1	3151	2926
1	3187	713
1	3195	3187
1	3199	3195
1	3202	3195
1	3225	3195
1	3229	3195
1	3238	3195
1	3241	3229
1	3259	2750
1	3584	667
1	3659	3145
1	3664	2841
1	3671	3664
1	3676	3671
1	3732	2926
1	3856	2926
1	3868	3856
1	3871	3856
1	3876	3871
1	3879	3871
1	3882	3879
1	3935	3871
1	3975	3856
1	4011	3882
1	4014	3879
1	4022	3871
1	4028	3856
1	4031	3882
1	4052	3871
1	4128	2750
1	4268	3584
1	4277	2750
1	4290	3659
1	4296	2841
1	4301	4290
1	4314	4268
1	4320	2645
1	4328	4268
1	4334	4328
1	4338	4334
1	4342	4338
1	4349	2660
1	4395	3584
1	4408	4320
1	4471	4268
1	4476	4471
1	4481	4471
1	4485	4268
1	4491	3229
1	4494	3238
1	4649	2750
1	4657	4649
1	4866	4320
1	4878	4268
1	4885	4878
1	4890	4885
1	4898	4890
1	5079	4268
1	5086	5079
1	5105	5079
1	5110	4471
1	5286	2750
1	5293	3259
1	5322	3259
1	5325	3229
1	5335	3187
1	5458	3259
1	5465	5458
1	5509	4128
1	5600	3659
1	5653	2926
1	5657	5653
1	6036	3659
1	6042	5458
1	6057	2940
1	6278	5458
1	6293	3187
1	6296	3187
1	6299	6296
1	6470	5600
1	6499	3259
1	6505	6499
1	6510	6505
1	6514	6505
1	6518	3145
1	6523	6505
1	6527	6514
1	6535	6505
1	6539	6499
1	6689	5509
1	6697	6689
1	6703	5293
1	6710	6703
1	6714	6703
1	6719	6714
1	6729	6714
1	6733	6719
1	6738	6710
1	6742	6710
1	6755	6710
1	6760	6755
1	6765	6760
1	8031	5322
1	8035	8031
1	8038	8031
1	8040	8038
1	8042	8031
1	8044	8042
1	8047	8042
1	8051	8035
1	8053	8047
1	8056	4277
1	8141	6689
1	8149	4657
1	8156	8149
1	8160	8149
1	8165	8149
1	8248	4471
1	8313	3732
1	8317	3584
1	8324	8317
1	8328	8317
1	8339	8328
1	8343	8339
1	8346	8328
1	8350	8339
1	8354	8317
1	8362	8354
1	8367	8362
1	8371	8362
1	8375	8328
1	8382	8354
1	8390	8324
1	8400	8328
1	8412	8324
1	8422	8375
1	8440	8400
1	8454	8412
1	8457	8454
1	8461	8412
1	8467	8461
1	8470	8461
1	8473	8467
1	8476	8473
1	8483	8461
1	8486	8470
1	8566	8400
1	8601	8328
1	8628	8375
1	8638	8390
1	8642	8638
1	8646	8566
1	8649	8375
1	8662	8601
1	8669	8382
1	8685	8662
1	8711	8669
1	8715	8354
1	8720	8367
1	8726	8711
1	8730	8367
1	8746	8354
1	8753	8711
1	8758	8753
1	8761	8758
1	8764	8758
1	8768	8758
1	8771	8764
1	8775	8768
1	8779	8354
1	8783	8768
1	8799	8779
1	8803	8775
1	8806	8779
1	8809	8783
1	8814	8317
1	8819	8814
1	8824	8646
1	8840	8814
1	8847	8840
1	8853	8840
1	8865	8711
1	8869	8865
1	8874	8865
1	8878	8874
1	8882	8869
1	8886	8649
1	8892	8753
1	8898	8783
1	8903	8898
1	8907	8892
1	8913	8783
1	8917	8913
1	8922	8892
