#vector_size	count	cdf
1	887701	0.758952
2	133394	0.872999
3	48552	0.91451
4	25997	0.936736
5	14898	0.949473
6	10606	0.958541
7	6981	0.96451
8	5294	0.969036
9	3914	0.972382
10	3366	0.97526
11	2646	0.977522
12	2251	0.979447
13	1729	0.980925
14	1565	0.982263
15	1399	0.983459
16	1218	0.9845
17	1051	0.985399
18	910	0.986177
19	799	0.98686
20	752	0.987503
21	699	0.988101
22	661	0.988666
23	570	0.989153
24	592	0.989659
25	505	0.990091
26	468	0.990491
27	471	0.990894
28	413	0.991247
29	401	0.99159
30	374	0.991909
31	344	0.992204
32	330	0.992486
33	293	0.992736
34	275	0.992971
35	266	0.993199
36	224	0.99339
37	209	0.993569
38	248	0.993781
39	194	0.993947
40	167	0.99409
41	195	0.994256
42	161	0.994394
43	146	0.994519
44	126	0.994627
45	134	0.994741
46	138	0.994859
47	129	0.994969
48	122	0.995074
49	107	0.995165
50	122	0.995269
51	108	0.995362
52	104	0.995451
53	87	0.995525
54	102	0.995612
55	104	0.995701
56	83	0.995772
57	99	0.995857
58	110	0.995951
59	99	0.996036
60	88	0.996111
61	76	0.996176
62	68	0.996234
63	85	0.996307
64	85	0.996379
65	71	0.99644
66	70	0.9965
67	74	0.996563
68	80	0.996631
69	71	0.996692
70	76	0.996757
71	64	0.996812
72	66	0.996868
73	53	0.996914
74	59	0.996964
75	55	0.997011
76	73	0.997073
77	60	0.997125
78	53	0.99717
79	44	0.997208
80	55	0.997255
81	55	0.997302
82	40	0.997336
83	49	0.997378
84	46	0.997417
85	55	0.997464
86	54	0.99751
87	35	0.99754
88	42	0.997576
89	34	0.997605
90	37	0.997637
91	53	0.997682
92	40	0.997716
93	28	0.99774
94	32	0.997768
95	35	0.997798
96	34	0.997827
97	32	0.997854
98	33	0.997882
99	25	0.997904
100	28	0.997928
101	29	0.997952
102	35	0.997982
103	28	0.998006
104	23	0.998026
105	25	0.998047
106	19	0.998064
107	27	0.998087
108	21	0.998105
109	15	0.998117
110	15	0.99813
111	18	0.998146
112	27	0.998169
113	18	0.998184
114	21	0.998202
115	24	0.998223
116	22	0.998241
117	10	0.99825
118	26	0.998272
119	22	0.998291
120	22	0.99831
121	21	0.998328
122	14	0.99834
123	22	0.998358
124	19	0.998375
125	14	0.998387
126	19	0.998403
127	8	0.99841
128	7	0.998416
129	21	0.998434
130	12	0.998444
131	16	0.998458
132	12	0.998468
133	16	0.998482
134	11	0.998491
135	5	0.998495
136	11	0.998505
137	15	0.998517
138	10	0.998526
139	10	0.998535
140	8	0.998541
141	14	0.998553
142	6	0.998559
143	14	0.998571
144	11	0.99858
145	12	0.99859
146	14	0.998602
147	7	0.998608
148	9	0.998616
149	10	0.998624
150	11	0.998634
151	13	0.998645
152	10	0.998653
153	7	0.998659
154	11	0.998669
155	13	0.99868
156	12	0.99869
157	9	0.998698
158	8	0.998705
159	10	0.998713
160	9	0.998721
161	6	0.998726
162	9	0.998734
163	8	0.998741
164	8	0.998747
165	7	0.998753
166	12	0.998764
167	9	0.998771
168	9	0.998779
169	10	0.998788
170	10	0.998796
171	7	0.998802
172	7	0.998808
173	5	0.998812
174	4	0.998816
175	6	0.998821
176	4	0.998824
177	8	0.998831
178	5	0.998836
179	9	0.998843
180	16	0.998857
181	13	0.998868
182	7	0.998874
183	11	0.998883
184	4	0.998887
185	10	0.998895
186	5	0.9989
187	4	0.998903
188	4	0.998907
189	5	0.998911
190	10	0.998919
191	7	0.998925
192	6	0.99893
193	12	0.998941
194	7	0.998947
195	3	0.998949
196	7	0.998955
197	9	0.998963
198	7	0.998969
199	9	0.998977
200	3	0.998979
201	8	0.998986
202	5	0.99899
203	11	0.999
204	4	0.999003
205	4	0.999007
206	2	0.999008
207	6	0.999013
208	9	0.999021
209	3	0.999024
210	4	0.999027
211	5	0.999031
212	3	0.999034
213	2	0.999036
214	4	0.999039
215	3	0.999042
216	5	0.999046
217	8	0.999053
218	4	0.999056
219	8	0.999063
220	4	0.999066
221	5	0.999071
222	4	0.999074
223	6	0.999079
224	5	0.999083
225	7	0.999089
226	5	0.999094
227	4	0.999097
228	3	0.9991
229	3	0.999102
230	4	0.999106
231	8	0.999113
232	1	0.999113
233	6	0.999119
234	7	0.999125
235	6	0.99913
236	3	0.999132
237	4	0.999136
238	2	0.999137
239	7	0.999143
240	7	0.999149
241	3	0.999152
242	6	0.999157
243	4	0.99916
244	4	0.999164
245	6	0.999169
246	6	0.999174
247	1	0.999175
248	2	0.999177
249	4	0.99918
250	2	0.999182
251	8	0.999189
252	4	0.999192
253	2	0.999194
254	3	0.999196
255	3	0.999199
256	3	0.999201
257	4	0.999205
258	5	0.999209
259	3	0.999212
260	4	0.999215
261	2	0.999217
262	3	0.999219
263	3	0.999222
264	5	0.999226
266	6	0.999231
268	1	0.999232
269	4	0.999236
270	5	0.99924
271	2	0.999242
272	1	0.999243
273	2	0.999244
