#reverse_pos	count	cdf
0	405628	0.422614
1	156084	0.585234
2	85816	0.674644
3	50459	0.727216
4	32979	0.761576
5	29649	0.792467
6	19816	0.813112
7	17473	0.831317
8	14741	0.846675
9	11402	0.858555
10	9565	0.86852
11	8861	0.877753
12	7431	0.885495
13	6877	0.89266
14	5855	0.89876
15	5222	0.904201
16	4635	0.90903
17	4029	0.913227
18	3772	0.917157
19	3552	0.920858
20	3291	0.924287
21	3032	0.927446
22	2682	0.93024
23	2406	0.932747
24	2392	0.935239
25	1991	0.937313
26	1817	0.939207
27	1829	0.941112
28	1675	0.942857
29	1573	0.944496
30	1498	0.946057
31	1381	0.947496
32	1236	0.948783
33	1250	0.950086
34	1139	0.951272
35	1076	0.952394
36	1022	0.953458
37	1052	0.954554
38	930	0.955523
39	921	0.956483
40	908	0.957429
41	847	0.958311
42	801	0.959146
43	755	0.959933
44	733	0.960696
45	762	0.96149
46	730	0.962251
47	686	0.962965
48	610	0.963601
49	580	0.964205
50	587	0.964817
51	569	0.96541
52	617	0.966053
53	577	0.966654
54	508	0.967183
55	445	0.967647
56	458	0.968124
57	492	0.968636
58	454	0.969109
59	425	0.969552
60	422	0.969992
61	430	0.97044
62	404	0.970861
63	406	0.971284
64	361	0.97166
65	376	0.972052
66	331	0.972397
67	345	0.972756
68	351	0.973122
69	307	0.973442
70	339	0.973795
71	294	0.974101
72	315	0.974429
73	254	0.974694
74	287	0.974993
75	278	0.975283
76	250	0.975543
77	255	0.975809
78	266	0.976086
79	240	0.976336
80	238	0.976584
81	246	0.97684
82	226	0.977076
83	239	0.977325
84	246	0.977581
85	220	0.97781
86	221	0.97804
87	200	0.978249
88	197	0.978454
89	205	0.978668
90	202	0.978878
91	183	0.979069
92	191	0.979268
93	200	0.979476
94	187	0.979671
95	166	0.979844
96	188	0.98004
97	156	0.980202
98	130	0.980338
99	172	0.980517
100	183	0.980708
101	146	0.98086
102	169	0.981036
103	142	0.981184
104	146	0.981336
105	151	0.981493
106	120	0.981618
107	136	0.98176
108	155	0.981921
109	135	0.982062
110	106	0.982172
111	128	0.982306
112	127	0.982438
113	111	0.982554
114	119	0.982678
115	116	0.982799
116	113	0.982916
117	105	0.983026
118	129	0.98316
119	123	0.983288
120	94	0.983386
121	100	0.98349
122	101	0.983596
123	102	0.983702
124	95	0.983801
125	103	0.983908
126	100	0.984012
127	91	0.984107
128	92	0.984203
129	83	0.98429
130	97	0.984391
131	91	0.984485
132	89	0.984578
133	94	0.984676
134	93	0.984773
135	90	0.984867
136	60	0.984929
137	101	0.985034
138	79	0.985117
139	79	0.985199
140	80	0.985282
141	80	0.985366
142	81	0.98545
143	76	0.985529
144	73	0.985605
145	78	0.985687
146	73	0.985763
147	67	0.985833
148	71	0.985907
149	60	0.985969
150	69	0.986041
151	75	0.986119
152	57	0.986178
153	84	0.986266
154	71	0.98634
155	62	0.986405
156	83	0.986491
157	60	0.986554
