#vector_size	early_hit_ratio	hits_in_first_half	total_checks
5	0.477715	14234	29796
6	0.631058	20079	31818
7	0.557728	15574	27924
8	0.633094	16758	26470
9	0.591211	13884	23484
10	0.647611	15259	23562
11	0.609269	12897	21168
12	0.64559	13079	20259
13	0.604164	10446	17290
14	0.635086	10933	17215
15	0.617227	10362	16788
16	0.63111	9993	15834
17	0.60541	8908	14714
18	0.627546	8566	13650
19	0.607087	7761	12784
20	0.609355	7790	12784
21	0.612303	7704	12582
22	0.616211	7739	12559
23	0.614123	7001	11400
24	0.612934	7620	12432
25	0.6036	6706	11110
26	0.606373	6527	10764
27	0.618011	6986	11304
28	0.590702	6099	10325
29	0.591406	6166	10426
30	0.597346	6032	10098
31	0.605066	5828	9632
32	0.607315	5812	9570
33	0.579181	5091	8790
34	0.600587	5120	8525
35	0.595982	5073	8512
36	0.585904	4331	7392
37	0.566141	4023	7106
38	0.581106	5044	8680
39	0.551976	3855	6984
40	0.5352	3307	6179
41	0.531714	3940	7410
42	0.554069	3479	6279
43	0.54161	3163	5840
44	0.491289	2538	5166
45	0.512971	2887	5628
46	0.541793	3215	5934
47	0.511628	2904	5676
48	0.510565	2803	5490
49	0.514831	2534	4922
50	0.542553	3111	5734
51	0.495756	2570	5184
52	0.504513	2571	5096
53	0.457931	1992	4350
54	0.517301	2691	5202
55	0.475407	2571	5408
56	0.519664	2286	4399
57	0.50636	2707	5346
58	0.513554	3107	6050
59	0.516595	2864	5544
60	0.546451	2741	5016
61	0.494102	2178	4408
62	0.504985	2026	4012
63	0.49902	2545	5100
64	0.509932	2644	5185
65	0.525443	2313	4402
66	0.492063	2170	4410
67	0.512458	2427	4736
68	0.512885	2667	5200
69	0.48805	2287	4686
70	0.470935	2398	5092
71	0.491268	2138	4352
72	0.504611	2298	4554
73	0.52938	1964	3710
74	0.496061	2078	4189
75	0.552778	2189	3960
76	0.447739	2386	5329
77	0.450901	2002	4440
78	0.490566	1950	3975
79	0.452153	1512	3344
80	0.49634	2102	4235
