#vector_size	count	cdf
1	785056	0.57823
2	176451	0.708195
3	95541	0.778565
4	58504	0.821656
5	40901	0.851782
6	30346	0.874133
7	23704	0.891592
8	14957	0.902609
9	11817	0.911312
10	9803	0.918533
11	9349	0.925419
12	9187	0.932185
13	7596	0.93778
14	6355	0.942461
15	4965	0.946118
16	4859	0.949697
17	4762	0.953204
18	4152	0.956262
19	4059	0.959252
20	3485	0.961819
21	2551	0.963698
22	2486	0.965529
23	2536	0.967397
24	2484	0.969226
25	2134	0.970798
26	2089	0.972337
27	1898	0.973735
28	1517	0.974852
29	1571	0.976009
30	1496	0.977111
31	1471	0.978195
32	1432	0.979249
33	1374	0.980261
34	1197	0.981143
35	1247	0.982061
36	1155	0.982912
37	1018	0.983662
38	865	0.984299
39	848	0.984924
40	726	0.985458
41	741	0.986004
42	808	0.986599
43	824	0.987206
44	721	0.987737
45	662	0.988225
46	684	0.988729
47	577	0.989154
48	569	0.989573
49	563	0.989987
50	568	0.990406
51	520	0.990789
52	536	0.991184
53	602	0.991627
54	619	0.992083
55	646	0.992559
56	679	0.993059
57	691	0.993568
58	762	0.994129
59	828	0.994739
60	989	0.995467
61	938	0.996158
62	898	0.99682
63	737	0.997362
64	356	0.997625
65	252	0.99781
66	202	0.997959
67	144	0.998065
68	144	0.998171
69	140	0.998274
70	138	0.998376
71	151	0.998487
72	124	0.998578
73	132	0.998676
74	140	0.998779
75	118	0.998866
76	105	0.998943
77	91	0.99901
78	79	0.999068
79	79	0.999126
80	59	0.99917
81	65	0.999218
82	58	0.999261
83	47	0.999295
84	48	0.99933
85	53	0.99937
86	43	0.999401
87	40	0.999431
88	59	0.999474
89	44	0.999507
90	38	0.999535
91	42	0.999565
92	39	0.999594
93	34	0.999619
94	48	0.999655
95	57	0.999697
96	52	0.999735
97	62	0.999781
98	53	0.99982
99	45	0.999853
100	30	0.999875
101	3	0.999877
102	5	0.999881
103	4	0.999884
104	5	0.999887
105	3	0.99989
106	3	0.999892
107	3	0.999894
108	5	0.999898
109	4	0.999901
110	3	0.999903
111	4	0.999906
112	1	0.999906
113	1	0.999907
114	6	0.999912
115	3	0.999914
116	3	0.999916
117	1	0.999917
118	2	0.999918
119	4	0.999921
120	8	0.999927
121	1	0.999928
122	1	0.999929
123	4	0.999932
124	7	0.999937
125	5	0.99994
126	2	0.999942
127	4	0.999945
128	1	0.999945
129	1	0.999946
130	1	0.999947
131	4	0.99995
132	2	0.999951
133	1	0.999952
134	1	0.999953
135	3	0.999955
136	4	0.999958
138	2	0.999959
139	4	0.999962
142	1	0.999963
143	1	0.999964
144	1	0.999965
146	1	0.999965
148	2	0.999967
150	1	0.999968
151	2	0.999969
152	1	0.99997
153	2	0.999971
155	1	0.999972
159	1	0.999973
160	2	0.999974
161	2	0.999976
163	2	0.999977
167	1	0.999978
169	1	0.999979
172	2	0.99998
173	1	0.999981
175	1	0.999982
178	1	0.999982
183	1	0.999983
189	1	0.999984
190	1	0.999985
192	1	0.999985
197	2	0.999987
200	1	0.999987
204	1	0.999988
208	1	0.999989
227	1	0.99999
230	1	0.99999
231	1	0.999991
239	1	0.999992
263	2	0.999993
265	1	0.999994
270	1	0.999995
293	1	0.999996
307	1	0.999996
315	1	0.999997
381	1	0.999998
424	1	0.999999
438	1	0.999999
447	1	1
