#reverse_pos	count	cdf
0	823829	0.522811
1	288203	0.705707
2	114492	0.778365
3	63915	0.818927
4	54021	0.853209
5	51701	0.886019
6	37703	0.909946
7	17742	0.921205
8	12945	0.92942
9	9871	0.935684
10	12483	0.943606
11	13651	0.952269
12	7361	0.95694
13	7731	0.961847
14	5058	0.965056
15	3956	0.967567
16	4105	0.970172
17	4831	0.973238
18	3749	0.975617
19	3688	0.977957
20	3918	0.980444
21	3245	0.982503
22	2705	0.98422
23	2465	0.985784
24	2422	0.987321
25	1853	0.988497
26	1735	0.989598
27	1202	0.990361
28	1315	0.991195
29	1242	0.991984
30	1198	0.992744
31	887	0.993307
32	703	0.993753
33	815	0.99427
34	818	0.994789
35	827	0.995314
36	714	0.995767
37	671	0.996193
38	522	0.996524
39	405	0.996781
40	328	0.996989
41	353	0.997213
42	371	0.997449
43	378	0.997689
44	364	0.99792
45	331	0.99813
46	243	0.998284
47	202	0.998412
48	213	0.998547
49	218	0.998686
50	130	0.998768
51	123	0.998846
52	126	0.998926
53	114	0.998999
54	128	0.99908
55	109	0.999149
56	97	0.999211
57	80	0.999261
58	68	0.999304
59	68	0.999348
60	67	0.99939
61	59	0.999428
62	43	0.999455
63	31	0.999475
64	33	0.999495
65	40	0.999521
66	34	0.999542
67	40	0.999568
68	30	0.999587
69	26	0.999603
70	26	0.99962
71	32	0.99964
72	23	0.999655
73	19	0.999667
74	16	0.999677
75	16	0.999687
76	22	0.999701
77	19	0.999713
78	25	0.999729
79	11	0.999736
80	14	0.999745
81	16	0.999755
82	3	0.999757
83	14	0.999766
84	20	0.999779
85	8	0.999784
86	6	0.999787
87	8	0.999792
88	13	0.999801
89	14	0.99981
90	4	0.999812
91	11	0.999819
92	14	0.999828
93	11	0.999835
94	8	0.99984
95	8	0.999845
96	6	0.999849
97	7	0.999853
98	11	0.99986
99	4	0.999863
100	5	0.999866
101	7	0.999871
102	2	0.999872
103	1	0.999872
104	7	0.999877
105	4	0.999879
106	4	0.999882
107	3	0.999884
108	3	0.999886
109	5	0.999889
110	7	0.999893
111	7	0.999898
113	4	0.9999
114	1	0.999901
115	5	0.999904
116	3	0.999906
117	3	0.999908
118	4	0.999911
119	4	0.999913
120	6	0.999917
121	1	0.999918
122	4	0.99992
123	5	0.999923
125	5	0.999926
126	4	0.999929
127	1	0.99993
128	3	0.999931
131	1	0.999932
132	9	0.999938
134	2	0.999939
135	5	0.999942
136	1	0.999943
137	1	0.999944
138	1	0.999944
140	2	0.999945
141	4	0.999948
143	3	0.99995
145	1	0.999951
146	4	0.999953
147	3	0.999955
151	1	0.999956
152	1	0.999956
153	1	0.999957
154	2	0.999958
155	3	0.99996
156	1	0.999961
158	3	0.999963
159	1	0.999963
161	4	0.999966
162	4	0.999968
166	4	0.999971
168	3	0.999973
169	1	0.999973
170	7	0.999978
172	4	0.99998
175	1	0.999981
176	2	0.999982
178	1	0.999983
184	4	0.999985
197	1	0.999986
199	1	0.999987
202	1	0.999987
210	1	0.999988
212	1	0.999989
213	2	0.99999
223	1	0.99999
229	1	0.999991
231	2	0.999992
233	2	0.999994
234	1	0.999994
235	2	0.999996
236	1	0.999996
238	2	0.999997
247	1	0.999998
248	1	0.999999
317	2	1
