#vector_size	early_hit_ratio	hits_in_first_half	total_checks
5	0.225141	18417	81802
6	0.495244	45086	91038
7	0.439936	41713	94816
8	0.536632	40132	74785
9	0.459691	32593	70902
10	0.536148	36791	68621
11	0.475078	35532	74792
12	0.549194	45409	82683
13	0.50054	38021	75960
14	0.54524	38115	69905
15	0.500084	29795	59580
16	0.554023	34996	63167
17	0.534904	35661	66668
18	0.573426	35713	62280
19	0.562654	36541	64944
20	0.595527	35282	59245
21	0.547868	25157	45918
22	0.568891	26871	47234
23	0.549231	27857	50720
24	0.578752	30190	52164
25	0.547286	25694	46948
26	0.580432	27888	48047
27	0.549175	25016	45552
28	0.57967	21984	37925
29	0.569089	23245	40846
30	0.579446	23405	40392
31	0.56009	23069	41188
32	0.572939	23793	41528
33	0.56327	23218	41220
34	0.573234	21271	37107
35	0.564079	22509	39904
36	0.57602	21955	38115
37	0.55527	19219	34612
38	0.573642	17367	30275
39	0.56476	17241	30528
40	0.584953	15713	26862
41	0.576959	16246	28158
42	0.58784	18524	31512
43	0.579157	19089	32960
44	0.574778	16991	29561
45	0.565782	15731	27804
46	0.575547	16928	29412
47	0.567512	14408	25388
48	0.570514	14608	25605
49	0.568654	14727	25898
50	0.580162	15488	26696
51	0.555048	13854	24960
52	0.567545	14906	26264
53	0.562757	16939	30100
54	0.574076	18123	31569
55	0.569511	19131	33592
56	0.570762	20540	35987
57	0.559495	20877	37314
58	0.577237	24192	41910
59	0.561918	26055	46368
60	0.577688	32566	56373
61	0.575123	31289	54404
62	0.579725	30715	52982
63	0.57673	25503	44220
64	0.585927	12724	21716
65	0.565476	8835	15624
66	0.568757	7238	12726
67	0.567817	5233	9216
68	0.555342	5198	9360
69	0.547727	5061	9240
70	0.562189	5198	9246
71	0.567199	5824	10268
72	0.569074	4869	8556
73	0.555519	5133	9240
74	0.580382	5769	9940
75	0.574741	4883	8496
76	0.57182	4383	7665
77	0.580933	3912	6734
78	0.581603	3446	5925
79	0.564624	3390	6004
80	0.553159	2513	4543
81	0.571598	2898	5070
82	0.576604	2642	4582
83	0.544415	2047	3760
84	0.561214	2182	3888
85	0.558214	2426	4346
86	0.54441	1943	3569
87	0.569643	1914	3360
88	0.575274	2885	5015
89	0.564218	2135	3784
90	0.57804	1911	3306
91	0.583333	2156	3696
92	0.565831	1964	3471
93	0.54902	1680	3060
94	0.572573	2501	4368
95	0.577994	3031	5244
96	0.566998	2742	4836
97	0.582018	3392	5828
98	0.580933	2925	5035
99	0.560185	2420	4320
100	0.568385	1654	2910
101	0.537415	158	294
102	0.583838	289	495
103	0.575	230	400
104	0.588119	297	505
105	0.562092	172	306
106	0.592233	183	309
107	0.560897	175	312
108	0.550476	289	525
109	0.584906	248	424
110	0.566978	182	321
111	0.638889	276	432
112	0.53211	58	109
113	0.472727	52	110
114	0.708709	472	666
115	0.654762	220	336
116	0.619469	210	339
117	0.596491	68	114
118	0.708696	163	230
119	0.618534	287	464
120	0.638889	598	936
121	0.745763	88	118
122	0.546218	65	119
123	0.66875	321	480
124	0.628099	532	847
125	0.6	366	610
126	0.678862	167	246
127	0.58871	292	496
128	0.616	77	125
129	0.722222	91	126
130	0.543307	69	127
131	0.621094	318	512
132	0.639535	165	258
133	0.630769	82	130
134	0.687023	90	131
135	0.5	198	396
136	0.648496	345	532
138	0.637037	172	270
139	0.641544	349	544
142	0.582734	81	139
143	0.692857	97	140
144	0.553191	78	141
146	0.72028	103	143
148	0.568966	165	290
150	0.639456	94	147
151	0.628378	186	296
152	0.624161	93	149
153	0.61	183	300
155	0.526316	80	152
159	0.557692	87	156
160	0.617834	194	314
161	0.56962	180	316
163	0.54375	174	320
167	0.518293	85	164
169	0.596386	99	166
172	0.636095	215	338
173	0.541176	92	170
175	0.697674	120	172
178	0.782857	137	175
183	0.555556	100	180
189	0.677419	126	186
190	0.737968	138	187
192	0.550265	104	189
197	0.53866	209	388
200	0.532995	105	197
204	0.711443	143	201
208	0.565854	116	205
227	0.732143	164	224
230	0.735683	167	227
231	0.587719	134	228
239	0.65678	155	236
263	0.578846	301	520
265	0.709924	186	262
270	0.696629	186	267
293	0.648276	188	290
307	0.585526	178	304
315	0.541667	169	312
381	0.544974	206	378
424	0.686461	289	421
438	0.604598	263	435
447	0.594595	264	444
