#vector_size	count	cdf
1	3542460	0.660807
2	475306	0.74947
3	267549	0.799379
4	164515	0.830067
5	115434	0.8516
6	87133	0.867854
7	72152	0.881313
8	59058	0.892329
9	46749	0.90105
10	28529	0.906372
11	24188	0.910884
12	22390	0.91506
13	19674	0.91873
14	18106	0.922108
15	17935	0.925453
16	19389	0.92907
17	19067	0.932627
18	11178	0.934712
19	9740	0.936529
20	9092	0.938225
21	8315	0.939776
22	8508	0.941363
23	9423	0.943121
24	10431	0.945067
25	11054	0.947129
26	9746	0.948947
27	5791	0.950027
28	5268	0.95101
29	5372	0.952012
30	5794	0.953093
31	6087	0.954228
32	6802	0.955497
33	7393	0.956876
34	6983	0.958179
35	5628	0.959228
36	4321	0.960034
37	4379	0.960851
38	4329	0.961659
39	4258	0.962453
40	4625	0.963316
41	4945	0.964238
42	4937	0.965159
43	4160	0.965935
44	2927	0.966481
45	2809	0.967005
46	3020	0.967569
47	3241	0.968173
48	3390	0.968805
49	3732	0.969502
50	3574	0.970168
51	3319	0.970787
52	2851	0.971319
53	2297	0.971748
54	2391	0.972194
55	2618	0.972682
56	2792	0.973203
57	3040	0.97377
58	3201	0.974367
59	3037	0.974934
60	2685	0.975434
61	2180	0.975841
62	2200	0.976252
63	2101	0.976643
64	1984	0.977014
65	2144	0.977413
66	2097	0.977805
67	2188	0.978213
68	1958	0.978578
69	1693	0.978894
70	1578	0.979188
71	1581	0.979483
72	1651	0.979791
73	1669	0.980102
74	1665	0.980413
75	1824	0.980753
76	1634	0.981058
77	1440	0.981327
78	1353	0.981579
79	1159	0.981795
80	1282	0.982034
81	1334	0.982283
82	1412	0.982547
83	1486	0.982824
84	1476	0.983099
85	1372	0.983355
86	1254	0.983589
87	1068	0.983788
88	1133	0.984
89	1200	0.984223
90	1276	0.984461
91	1262	0.984697
92	1269	0.984934
93	1258	0.985168
94	1127	0.985379
95	999	0.985565
96	1049	0.985761
97	1087	0.985963
98	1163	0.98618
99	1262	0.986416
100	1335	0.986665
101	1298	0.986907
102	1177	0.987126
103	1062	0.987324
104	1093	0.987528
105	1154	0.987744
106	1267	0.98798
107	1318	0.988226
108	1446	0.988496
109	1536	0.988782
110	1609	0.989082
111	1502	0.989362
112	1435	0.98963
113	1602	0.989929
114	1722	0.99025
115	1995	0.990622
116	2221	0.991037
117	2375	0.99148
118	2508	0.991947
119	2587	0.99243
120	2860	0.992964
121	3017	0.993526
122	3331	0.994148
123	3535	0.994807
124	3807	0.995517
125	3717	0.996211
126	3416	0.996848
127	2786	0.997368
128	1730	0.99769
129	945	0.997867
130	722	0.998001
131	648	0.998122
132	608	0.998236
133	536	0.998336
134	449	0.998419
135	393	0.998493
136	348	0.998557
137	312	0.998616
138	297	0.998671
139	292	0.998726
140	237	0.99877
141	239	0.998814
142	217	0.998855
143	215	0.998895
144	226	0.998937
145	186	0.998972
146	203	0.99901
147	176	0.999042
148	149	0.99907
149	140	0.999096
150	137	0.999122
151	134	0.999147
152	147	0.999174
153	115	0.999196
154	126	0.999219
155	143	0.999246
156	124	0.999269
157	110	0.99929
158	119	0.999312
159	99	0.99933
160	107	0.99935
161	93	0.999368
162	107	0.999388
163	101	0.999406
164	103	0.999426
165	107	0.999446
166	106	0.999465
167	90	0.999482
168	67	0.999495
169	84	0.99951
170	68	0.999523
171	89	0.99954
172	78	0.999554
173	66	0.999566
174	72	0.99958
175	64	0.999592
176	85	0.999608
177	72	0.999621
178	62	0.999633
179	64	0.999645
180	62	0.999656
