#reverse_pos	count	cdf
0	3902127	0.390995
1	1823152	0.573676
2	897947	0.66365
3	526031	0.716359
4	490291	0.765486
5	414972	0.807067
6	189000	0.826005
7	236203	0.849672
8	171924	0.866899
9	45352	0.871443
10	61476	0.877603
11	62906	0.883906
12	48202	0.888736
13	66954	0.895445
14	80917	0.903553
15	83978	0.911968
16	86944	0.92068
17	53924	0.926083
18	47355	0.930828
19	43644	0.935201
20	43098	0.939519
21	44104	0.943939
22	43866	0.948334
23	51365	0.953481
24	38393	0.957328
25	30717	0.960406
26	21761	0.962586
27	18037	0.964393
28	18323	0.966229
29	21762	0.96841
30	20327	0.970447
31	20184	0.972469
32	22755	0.974749
33	16511	0.976404
34	13925	0.977799
35	16522	0.979454
36	17720	0.98123
37	14120	0.982645
38	12470	0.983894
39	12005	0.985097
40	13934	0.986493
41	12875	0.987783
42	7263	0.988511
43	8118	0.989325
44	8545	0.990181
45	7390	0.990921
46	7905	0.991713
47	7176	0.992432
48	8311	0.993265
49	8433	0.99411
50	6569	0.994768
51	4543	0.995224
52	3283	0.995553
53	3171	0.99587
54	2311	0.996102
55	2613	0.996364
56	2734	0.996638
57	2865	0.996925
58	2193	0.997144
59	1019	0.997247
60	1017	0.997348
61	1210	0.99747
62	1344	0.997604
63	1574	0.997762
64	1811	0.997944
65	1891	0.998133
66	1745	0.998308
67	1234	0.998432
68	487	0.99848
69	431	0.998524
70	459	0.99857
71	534	0.998623
72	514	0.998675
73	475	0.998722
74	493	0.998772
75	350	0.998807
76	308	0.998837
77	355	0.998873
78	354	0.998909
79	332	0.998942
80	391	0.998981
81	399	0.999021
82	381	0.999059
83	371	0.999096
84	206	0.999117
85	158	0.999133
86	149	0.999148
87	188	0.999167
88	187	0.999185
89	163	0.999202
90	151	0.999217
91	148	0.999232
92	131	0.999245
93	169	0.999262
94	152	0.999277
95	150	0.999292
96	142	0.999306
97	166	0.999323
98	143	0.999337
99	171	0.999354
100	107	0.999365
101	130	0.999378
102	62	0.999384
103	103	0.999394
104	98	0.999404
105	92	0.999414
106	80	0.999422
107	72	0.999429
108	93	0.999438
109	90	0.999447
110	73	0.999454
111	77	0.999462
112	59	0.999468
113	73	0.999475
114	69	0.999482
115	72	0.999489
116	51	0.999495
117	75	0.999502
118	57	0.999508
119	59	0.999514
120	68	0.999521
121	54	0.999526
122	57	0.999532
123	60	0.999538
124	73	0.999545
125	44	0.999549
126	60	0.999555
127	43	0.99956
128	56	0.999565
129	35	0.999569
130	50	0.999574
131	79	0.999582
132	61	0.999588
133	48	0.999593
134	40	0.999597
135	60	0.999603
136	61	0.999609
137	50	0.999614
138	48	0.999619
139	26	0.999621
140	52	0.999626
141	28	0.999629
142	35	0.999633
143	25	0.999635
144	34	0.999639
145	37	0.999642
146	46	0.999647
147	46	0.999652
148	56	0.999657
149	35	0.999661
150	33	0.999664
151	39	0.999668
152	27	0.999671
153	34	0.999674
154	29	0.999677
155	44	0.999681
156	26	0.999684
157	22	0.999686
158	22	0.999688
159	35	0.999692
160	14	0.999693
161	28	0.999696
162	28	0.999699
163	27	0.999702
164	12	0.999703
165	38	0.999707
166	27	0.999709
167	15	0.999711
168	21	0.999713
169	14	0.999714
170	35	0.999718
171	7	0.999719
172	10	0.99972
173	16	0.999721
174	30	0.999724
175	17	0.999726
176	7	0.999727
177	11	0.999728
178	21	0.99973
179	17	0.999731
180	13	0.999733
181	7	0.999733
182	27	0.999736
183	16	0.999738
184	12	0.999739
185	7	0.99974
186	21	0.999742
187	18	0.999744
188	3	0.999744
189	7	0.999745
190	12	0.999746
191	9	0.999747
192	7	0.999747
193	19	0.999749
194	9	0.99975
195	13	0.999752
196	9	0.999752
197	9	0.999753
198	1	0.999753
199	14	0.999755
200	27	0.999758
201	22	0.99976
202	7	0.99976
203	14	0.999762
204	14	0.999763
205	7	0.999764
206	17	0.999766
207	25	0.999768
208	18	0.99977
209	12	0.999771
210	19	0.999773
211	6	0.999774
212	5	0.999774
213	9	0.999775
214	20	0.999777
215	6	0.999778
216	19	0.99978
217	8	0.99978
218	10	0.999781
219	9	0.999782
220	9	0.999783
221	7	0.999784
222	6	0.999784
223	7	0.999785
224	10	0.999786
225	9	0.999787
226	25	0.99979
227	13	0.999791
228	8	0.999792
229	12	0.999793
230	7	0.999794
231	3	0.999794
232	8	0.999795
233	6	0.999795
234	23	0.999798
235	13	0.999799
236	24	0.999801
237	11	0.999802
238	6	0.999803
239	8	0.999804
240	7	0.999805
241	8	0.999805
242	7	0.999806
243	7	0.999807
244	8	0.999808
245	28	0.99981
246	20	0.999812
247	17	0.999814
248	18	0.999816
249	9	0.999817
250	7	0.999817
251	31	0.999821
252	11	0.999822
253	8	0.999822
254	30	0.999825
255	19	0.999827
256	23	0.99983
257	15	0.999831
258	10	0.999832
259	11	0.999833
260	6	0.999834
261	8	0.999835
262	4	0.999835
263	7	0.999836
264	17	0.999837
265	20	0.999839
266	13	0.999841
267	2	0.999841
268	10	0.999842
269	5	0.999842
270	6	0.999843
271	2	0.999843
273	5	0.999844
274	3	0.999844
275	17	0.999846
276	15	0.999847
277	14	0.999849
278	12	0.99985
279	12	0.999851
280	4	0.999852
281	13	0.999853
282	14	0.999854
283	20	0.999856
284	21	0.999858
285	11	0.999859
286	15	0.999861
287	12	0.999862
288	15	0.999864
289	3	0.999864
290	6	0.999865
291	6	0.999865
292	8	0.999866
293	8	0.999867
294	26	0.999869
295	14	0.999871
296	1	0.999871
297	1	0.999871
298	4	0.999871
299	3	0.999872
300	8	0.999872
301	1	0.999873
302	2	0.999873
303	3	0.999873
304	1	0.999873
305	3	0.999873
307	5	0.999874
308	1	0.999874
309	1	0.999874
310	4	0.999875
311	3	0.999875
312	2	0.999875
313	11	0.999876
314	4	0.999877
315	4	0.999877
316	9	0.999878
317	8	0.999879
318	7	0.999879
319	3	0.99988
320	4	0.99988
321	3	0.99988
322	16	0.999882
323	3	0.999882
324	2	0.999882
325	1	0.999883
326	7	0.999883
327	10	0.999884
328	2	0.999884
329	4	0.999885
330	9	0.999886
331	3	0.999886
332	8	0.999887
333	23	0.999889
334	2	0.999889
335	12	0.999891
337	5	0.999891
338	2	0.999891
340	5	0.999892
341	2	0.999892
342	4	0.999892
344	7	0.999893
345	2	0.999893
346	1	0.999893
347	2	0.999894
349	6	0.999894
350	2	0.999894
351	6	0.999895
352	1	0.999895
353	4	0.999895
354	9	0.999896
355	4	0.999897
357	1	0.999897
358	2	0.999897
359	1	0.999897
360	7	0.999898
361	4	0.999898
362	7	0.999899
363	5	0.999899
364	13	0.999901
366	5	0.999901
367	1	0.999901
368	3	0.999902
370	1	0.999902
371	1	0.999902
372	3	0.999902
373	20	0.999904
374	14	0.999906
375	5	0.999906
376	19	0.999908
378	8	0.999909
379	11	0.99991
382	3	0.99991
384	1	0.99991
385	9	0.999911
386	14	0.999913
387	10	0.999914
388	8	0.999914
389	7	0.999915
390	6	0.999916
391	3	0.999916
392	1	0.999916
393	5	0.999917
395	3	0.999917
396	11	0.999918
397	4	0.999918
