#vector_size	early_hit_ratio	hits_in_first_half	total_checks
5	0.218367	50414	230868
6	0.498433	130290	261399
7	0.430979	124384	288608
8	0.578784	170909	295290
9	0.512364	143715	280494
10	0.529346	105712	199703
11	0.477406	92380	193504
12	0.540618	108940	201510
13	0.48863	96133	196740
14	0.534248	106404	199166
15	0.491836	105853	215220
16	0.531269	133910	252057
17	0.509759	136074	266938
18	0.549496	92134	167670
19	0.535896	83514	155840
20	0.568043	87799	154564
21	0.537456	80441	149670
22	0.565288	91380	161652
23	0.54879	103425	188460
24	0.580732	127210	219051
25	0.569165	138414	243188
26	0.595214	133422	224158
27	0.539249	74947	138984
28	0.560714	73846	131700
29	0.543108	75857	139672
30	0.559915	87592	156438
31	0.541611	92310	170436
32	0.557782	110027	197258
33	0.54456	120778	221790
34	0.564463	122191	216473
35	0.564999	101754	180096
36	0.580772	82814	142593
37	0.570369	84920	148886
38	0.579923	87867	151515
39	0.565824	86734	153288
40	0.582288	99644	171125
41	0.576185	108271	187910
42	0.58991	113583	192543
43	0.575355	95739	166400
44	0.564892	67791	120007
45	0.554027	65363	117978
46	0.56554	73441	129860
47	0.557754	79538	142604
48	0.565061	86200	152550
49	0.563179	96682	171672
50	0.575051	96596	167978
51	0.557755	88857	159312
52	0.564571	78870	139699
53	0.558955	64196	114850
54	0.569316	69423	121941
55	0.563965	76776	136136
56	0.57487	85067	147976
57	0.564462	92662	164160
58	0.575655	101347	176055
59	0.569659	96883	170072
60	0.571505	87466	153045
61	0.561144	70951	126440
62	0.569946	73979	129800
63	0.559313	70507	126060
64	0.565863	68483	121024
65	0.558897	74293	132928
66	0.566312	74816	132111
67	0.558872	78260	140032
68	0.568712	72380	127270
69	0.561805	62775	111738
70	0.568753	60132	105726
71	0.559307	60130	107508
72	0.57109	65058	113919
73	0.558401	65238	116830
74	0.561942	66430	118215
75	0.552091	72505	131328
76	0.554535	66146	119282
77	0.545974	58179	106560
78	0.551614	55975	101475
79	0.542198	47759	88084
80	0.54118	53422	98714
81	0.536636	55838	104052
82	0.543981	60680	111548
83	0.535195	63624	118880
84	0.539663	64520	119556
85	0.530941	59733	112504
86	0.537115	55904	104082
87	0.540853	48521	89712
88	0.538892	51898	96305
89	0.537161	55435	103200
90	0.537482	59667	111012
91	0.53338	59235	111056
92	0.538989	60874	112941
93	0.534711	60540	113220
94	0.537594	55134	102557
95	0.530063	48717	91908
96	0.538506	52535	97557
97	0.536202	54788	102178
98	0.541684	59848	110485
99	0.536268	64970	121152
100	0.540793	70030	129495
101	0.539645	68645	127204
102	0.544081	63398	116523
103	0.539623	57308	106200
104	0.541955	59828	110393
105	0.536777	63183	117708
106	0.543344	70907	130501
107	0.542277	74331	137072
108	0.548442	83270	151830
109	0.545862	88875	162816
110	0.548265	94391	172163
111	0.543713	88199	162216
112	0.545932	85392	156415
113	0.54525	96084	176220
114	0.551292	105375	191142
115	0.547588	122353	223440
116	0.552183	138583	250973
117	0.550973	149176	270750
118	0.556279	160442	288420
119	0.55554	166713	300092
120	0.561789	187986	334620
121	0.559946	199344	356006
122	0.564844	223898	396389
123	0.564986	239667	424200
124	0.568787	262010	460647
125	0.567539	257364	453474
126	0.572009	240340	420168
127	0.571266	197352	345464
128	0.573868	124099	216250
129	0.563148	67054	119070
130	0.561891	51522	91694
131	0.558292	46307	82944
132	0.561251	44020	78432
133	0.553157	38544	69680
134	0.560363	32960	58819
135	0.555825	28834	51876
136	0.558465	25848	46284
137	0.558242	23339	41808
138	0.556628	22318	40095
139	0.557338	22133	39712
140	0.563368	18292	32469
141	0.55691	18368	32982
142	0.560853	16917	30163
143	0.557342	16776	30100
144	0.565932	18034	31866
145	0.563872	14893	26412
146	0.567364	16470	29029
147	0.563013	14269	25344
148	0.578662	12502	21605
149	0.557681	11399	20440
150	0.56542	11387	20139
151	0.567164	11248	19832
152	0.565128	12378	21903
153	0.567826	9795	17250
154	0.559813	10651	19026
155	0.556634	12099	21736
156	0.567468	10766	18972
157	0.560803	9500	16940
158	0.56411	10405	18445
159	0.564685	8721	15444
160	0.567772	9538	16799
161	0.564516	8295	14694
162	0.574384	9772	17013
163	0.569988	9211	16160
164	0.554785	9200	16583
165	0.556825	9652	17334
166	0.557067	9625	17278
167	0.559959	8265	14760
168	0.54853	6064	11055
169	0.562966	7850	13944
170	0.571592	6491	11356
171	0.559457	8365	14952
172	0.572296	7544	13182
173	0.565686	6347	11220
174	0.560023	6895	12312
175	0.56677	6239	11008
176	0.559402	8226	14705
177	0.572079	7167	12528
178	0.556866	6042	10850
179	0.574219	6468	11264
180	0.568526	6239	10974
181	0.558855	6267	11214
182	0.570666	6844	11993
183	0.578367	6871	11880
184	0.577348	5643	9774
185	0.570631	6439	11284
186	0.570648	7310	12810
187	0.562237	6414	11408
188	0.582031	3984	6845
189	0.567888	6232	10974
190	0.572436	4710	8228
191	0.567602	5869	10340
192	0.572859	4006	6993
193	0.565895	2688	4750
194	0.548725	3249	5921
195	0.541266	2702	4992
196	0.558204	1616	2895
197	0.547605	1806	3298
198	0.547619	1495	2730
199	0.556122	1308	2352
200	0.531545	733	1379
201	0.561065	1222	2178
202	0.524288	939	1791
203	0.5375	1075	2000
204	0.563255	1585	2814
205	0.556931	1575	2828
206	0.54647	1664	3045
207	0.543363	1441	2652
208	0.580863	1548	2665
209	0.550162	1360	2472
210	0.553013	2175	3933
211	0.565828	1530	2704
212	0.542878	1475	2717
213	0.541837	1593	2940
214	0.551659	582	1055
215	0.534591	2040	3816
216	0.530878	1470	2769
217	0.566005	969	1712
218	0.545847	1643	3010
219	0.541088	935	1728
220	0.545008	1774	3255
221	0.531091	1042	1962
222	0.528376	1620	3066
223	0.528283	1046	1980
224	0.543398	1321	2431
225	0.526126	1168	2220
226	0.557277	1367	2453
227	0.553013	1982	3584
228	0.553333	747	1350
229	0.528024	1790	3390
230	0.53304	847	1589
231	0.549708	752	1368
232	0.511541	820	1603
233	0.531401	1100	2070
234	0.563389	911	1617
235	0.526437	1832	3480
236	0.550787	2310	4194
237	0.531746	871	1638
238	0.556383	523	940
239	0.537484	1649	3068
240	0.546251	1683	3081
241	0.543545	1423	2618
242	0.557183	1598	2868
243	0.544118	2220	4080
244	0.540696	1694	3133
245	0.555785	538	968
246	0.561214	1091	1944
247	0.540164	1977	3660
248	0.545455	1470	2695
249	0.541129	2263	4182
250	0.536556	2253	4199
251	0.542494	1749	3224
252	0.54242	2161	3984
253	0.545	1090	2000
254	0.575878	1590	2761
255	0.513039	1810	3528
256	0.514081	2081	4048
257	0.536558	954	1778
258	0.513725	2227	4335
259	0.515625	1452	2816
260	0.516365	2256	4369
261	0.517719	935	1806
262	0.53668	1251	2331
263	0.549573	1286	2340
264	0.531609	1110	2088
265	0.515854	1757	3406
266	0.528517	1668	3156
267	0.5383	1279	2376
268	0.50566	938	1855
269	0.533298	993	1862
270	0.561174	899	1602
271	0.572139	460	804
273	0.535802	434	810
274	0.535055	290	542
275	0.577206	157	272
276	0.509158	139	273
277	0.563869	309	548
278	0.614545	169	275
279	0.57971	160	276
280	0.614922	511	831
281	0.571223	794	1390
283	0.521429	292	560
284	0.622776	175	281
285	0.535461	302	564
286	0.548881	466	849
287	0.605634	172	284
288	0.715789	204	285
289	0.566434	324	572
290	0.533101	153	287
292	0.615917	178	289
293	0.631034	366	580
294	0.632302	368	582
295	0.594178	347	584
296	0.62628	367	586
297	0.568027	167	294
298	0.601695	710	1180
299	0.469595	139	296
300	0.599327	178	297
301	0.567114	169	298
302	0.595318	178	299
303	0.603333	181	300
304	0.549834	331	602
305	0.559603	338	604
307	0.611842	186	304
308	0.572131	349	610
309	0.627451	192	306
311	0.61039	188	308
313	0.570968	177	310
315	0.580128	181	312
316	0.63099	395	626
317	0.630573	198	314
318	0.610582	577	945
319	0.566456	179	316
320	0.599369	190	317
321	0.454403	289	636
322	0.630094	201	319
324	0.579439	372	642
327	0.54321	176	324
328	0.486154	158	325
330	0.522936	171	327
331	0.512195	504	984
333	0.669697	221	330
335	0.591867	393	664
336	0.513514	171	333
337	0.568862	190	334
338	0.58806	197	335
339	0.465774	313	672
340	0.551929	372	674
341	0.597633	202	338
343	0.461765	157	340
344	0.498534	170	341
345	0.518519	532	1026
346	0.606414	208	343
347	0.575581	198	344
348	0.57971	200	345
350	0.585014	203	347
351	0.636015	664	1044
354	0.568376	399	702
356	0.549575	194	353
358	0.516901	367	710
359	0.617978	220	356
360	0.560224	200	357
361	0.536313	576	1074
363	0.555556	400	720
366	0.628099	228	363
369	0.568306	416	732
371	0.559783	206	368
372	0.626016	231	369
379	0.452128	170	376
382	0.583113	221	379
383	0.471053	179	380
386	0.55483	425	766
388	0.568831	219	385
394	0.589514	461	782
395	0.55102	432	784
397	0.558376	220	394
400	0.571788	227	397
401	0.605528	241	398
402	0.601504	240	399
405	0.59204	238	402
407	0.60396	244	404
408	0.612346	248	405
409	0.539409	219	406
411	0.514706	210	408
422	0.541766	227	419
424	0.686461	289	421
426	0.614657	260	423
427	0.558962	237	424
429	0.530516	452	852
435	0.631944	273	432
437	0.52765	229	434
440	0.567506	248	437
442	0.548975	241	439
446	0.600451	266	443
447	0.594595	264	444
452	0.612472	275	449
454	0.56541	510	902
457	0.544053	247	454
461	0.545852	750	1374
463	0.452174	208	460
472	0.61194	287	469
479	0.548319	261	476
485	0.59751	288	482
488	0.585567	284	485
489	0.613169	298	486
496	0.517241	255	493
507	0.613095	309	504
509	0.523715	265	506
511	0.625984	318	508
517	0.568093	292	514
523	0.626923	326	520
528	0.615238	323	525
530	0.516129	272	527
535	0.515038	274	532
539	0.600746	322	536
555	0.61413	339	552
573	0.622807	355	570
582	0.53886	312	579
586	0.564322	329	583
587	0.520548	304	584
606	0.532338	321	603
636	0.554502	351	633
668	0.577444	384	665
676	0.586924	395	673
677	0.497033	335	674
686	0.633968	433	683
705	0.581197	408	702
726	0.481328	348	723
740	0.530529	391	737
748	0.539597	402	745
751	0.620321	464	748
759	0.564815	427	756
779	0.551546	428	776
800	0.558344	445	797
838	0.552096	461	835
845	0.469121	395	842
855	0.552817	471	852
861	0.519814	446	858
980	0.503582	492	977
1008	0.511443	514	1005
1012	0.524281	529	1009
1015	0.532609	539	1012
1016	0.551826	559	1013
1020	0.525074	534	1017
1035	0.52907	546	1032
1052	0.533842	560	1049
1057	0.518027	546	1054
1071	0.562734	601	1068
1419	0.52048	737	1416
1644	0.491773	807	1641
1977	0.531408	1049	1974
1995	0.596888	1189	1992
2063	0.504854	1040	2060
2158	0.627378	1352	2155
2220	0.547136	1213	2217
2249	0.487533	1095	2246
6636	0.549224	3643	6633
